Date,Open,High,Low,Close*,Adj Close**,Volume
01-05-14,6780.00,6894.90,6766.80,6844.50,6844.50,13894805500.00
01-06-14,6844.50,6879.00,6701.60,6743.90,6743.90,12758465400.00
01-07-14,6743.90,6875.30,6643.60,6730.10,6730.10,13168689700.00
01-08-14,6730.10,6831.20,6528.70,6819.80,6819.80,10850819300.00
01-09-14,6819.80,6904.90,6601.60,6622.70,6622.70,15417322100.00
01-10-14,6622.70,6622.80,6072.70,6546.50,6546.50,20158414000.00
01-11-14,6546.50,6773.10,6444.90,6722.60,6722.60,14266358300.00
01-12-14,6722.60,6753.20,6144.70,6566.10,6566.10,13989469200.00
01-01-15,6566.10,6865.00,6298.20,6749.40,6749.40,15644596100.00
01-02-15,6749.40,6967.20,6732.00,6946.70,6946.70,14358563900.00
01-03-15,6946.70,7065.10,6693.80,6773.00,6773.00,17391381400.00
01-04-15,6773.00,7122.70,6765.40,6960.60,6960.60,14644991100.00
01-05-15,6960.60,7083.70,6810.10,6984.40,6984.40,15318287400.00
01-06-15,6984.40,7037.60,6521.00,6710.50,6710.50,17285508000.00
01-07-15,6521.00,6813.40,6430.40,6696.30,6696.30,19974561100.00
01-08-15,6696.30,6764.80,5768.20,6247.90,6247.90,17165806900.00
01-09-15,6247.90,6284.20,5877.10,6061.60,6061.60,17973431900.00
01-10-15,6061.60,6487.90,6051.60,6361.10,6361.10,15357871100.00
01-11-15,6361.10,6459.50,6079.80,6356.10,6356.10,14168990400.00
01-12-15,6356.10,6447.30,5871.90,6242.30,6242.30,13433251400.00
01-01-16,6242.30,6242.30,5639.90,6083.80,6083.80,17403133600.00
01-02-16,6083.80,6115.40,5499.50,6097.10,6097.10,19208966500.00
01-03-16,6097.10,6237.00,6036.70,6174.90,6174.90,16590666300.00
01-04-16,6174.90,6427.30,6061.90,6241.90,6241.90,15817457800.00
01-05-16,6241.90,6290.10,6050.20,6230.80,6230.80,15018082100.00
01-06-16,6230.80,6504.30,5788.70,6504.30,6504.30,24836871900.00
01-07-16,6504.30,6780.10,6432.50,6724.40,6724.40,19192240800.00
01-08-16,6724.40,6955.30,6615.80,6781.50,6781.50,15725368400.00
01-09-16,6781.50,6941.10,6654.50,6899.30,6899.30,18132999100.00
01-10-16,6899.30,7129.80,6898.10,6954.20,6954.20,18708869600.00
01-11-16,6954.20,6997.30,6676.60,6783.80,6783.80,20197573900.00
01-12-16,6783.80,7142.80,6678.70,7142.80,7142.80,14991595900.00
01-01-17,7142.80,7354.10,7099.20,7099.20,7099.20,17444698300.00
01-02-17,7099.20,7329.60,7093.60,7263.40,7263.40,16446446100.00
01-03-17,7263.40,7447.00,7255.80,7322.90,7322.90,20039972500.00
01-04-17,7322.90,7406.40,7096.80,7203.90,7203.90,15771258600.00
01-05-17,7203.90,7586.50,7203.90,7520.00,7520.00,18338797800.00
01-06-17,7520.00,7599.00,7302.70,7312.70,7312.70,19146718200.00
01-07-17,7312.70,7515.10,7303.50,7372.00,7372.00,16029984200.00
